Date,maxtemp,pred_maxtemp,class_true,class_pred
2018-10-08,28.0,27.65,baja,baja
2018-10-09,32.0,30.24,mediana,mediana
2018-10-10,32.0,31.34,mediana,mediana
2018-10-11,25.0,25.23,baja,baja
2018-10-12,25.0,25.43,baja,baja
2018-10-13,25.0,25.47,baja,baja
2018-10-14,22.0,27.06,baja,baja
2018-10-15,21.0,22.05,baja,baja
2018-10-16,18.0,20.52,baja,baja
2018-10-17,24.0,23.68,baja,baja
2018-10-18,31.0,31.04,mediana,mediana
2018-10-19,30.0,30.02,baja,mediana
2018-10-20,30.0,30.02,baja,mediana
2018-10-21,29.0,29.98,baja,baja
2018-10-22,33.0,33.28,mediana,mediana
2018-10-23,34.0,33.35,mediana,mediana
2018-10-24,35.0,33.4,alta,mediana
2018-10-25,34.0,34.3,mediana,alta
2018-10-26,36.0,34.64,alta,alta
2018-10-27,35.0,33.81,alta,mediana
2018-10-28,36.0,35.88,alta,alta
2018-10-29,33.0,34.44,mediana,alta
2018-10-30,32.0,32.5,mediana,mediana
2018-10-31,29.0,30.46,baja,mediana
2018-11-01,35.0,36.31,alta,alta
2018-11-02,31.0,31.61,mediana,mediana
2018-11-03,35.0,35.34,alta,alta
2018-11-04,35.0,36.76,alta,alta
2018-11-05,35.0,34.3,alta,alta
2018-11-06,36.0,35.71,alta,alta
2018-11-07,33.0,33.67,mediana,mediana
2018-11-08,35.0,35.17,alta,alta
2018-11-09,41.0,38.98,alta,alta
2018-11-10,37.0,35.91,alta,alta
2018-11-11,37.0,33.45,alta,mediana
2018-11-12,37.0,35.51,alta,alta
2018-11-13,35.0,35.12,alta,alta
2018-11-14,37.0,34.29,alta,alta
2018-11-15,33.0,33.7,mediana,mediana
2018-11-16,35.0,35.05,alta,alta
2018-11-17,35.0,35.01,alta,alta
2018-11-18,35.0,34.85,alta,alta
2018-11-19,32.0,31.31,mediana,mediana
2018-11-20,31.0,30.04,mediana,mediana
2018-11-21,35.0,32.63,alta,mediana
2018-11-22,29.0,29.3,baja,baja
2018-11-23,28.0,27.55,baja,baja
2018-11-24,31.0,30.79,mediana,mediana
2018-11-25,29.0,26.14,baja,baja
2018-11-26,26.0,25.86,baja,baja
2018-11-27,26.0,25.63,baja,baja
2018-11-28,24.0,25.7,baja,baja
2018-11-29,24.0,24.86,baja,baja
2018-11-30,20.0,20.98,baja,baja
2018-12-01,25.0,25.02,baja,baja
2018-12-02,30.0,30.49,baja,mediana
2018-12-03,30.0,30.35,baja,mediana
2018-12-04,30.0,30.57,baja,mediana
2018-12-05,25.0,25.93,baja,baja
2018-12-06,35.0,34.83,alta,alta
2018-12-07,33.0,32.81,mediana,mediana
2018-12-08,33.0,32.16,mediana,mediana
2018-12-09,34.0,34.49,mediana,alta
2018-12-10,35.0,35.32,alta,alta
2018-12-11,35.0,34.8,alta,alta
2018-12-12,36.0,34.95,alta,alta
2018-12-13,34.0,33.85,mediana,mediana
2018-12-14,31.0,31.84,mediana,mediana
2018-12-15,26.0,26.23,baja,baja
2018-12-16,35.0,34.36,alta,alta
2018-12-17,39.0,31.68,alta,mediana
2018-12-18,35.0,35.11,alta,alta
2018-12-19,36.0,33.75,alta,mediana
2018-12-20,31.0,31.68,mediana,mediana
2018-12-21,34.0,34.17,mediana,alta
2018-12-22,33.0,33.85,mediana,mediana
2018-12-23,38.0,37.16,alta,alta
2018-12-24,33.0,36.7,mediana,alta
2018-12-25,37.0,36.67,alta,alta
2018-12-26,39.0,38.49,alta,alta
2018-12-27,37.0,36.8,alta,alta
